,year,sex,offence_division,offence_subdivision,victims,total_victims
78,2020,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2722,7905
79,2020,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1153,2151
80,2019,Females,A Crimes against the person,A10 Homicide and related offences,78,215
81,2019,Females,A Crimes against the person,A20 Assault and related offences,22206,43354
82,2019,Females,A Crimes against the person,A30 Sexual offences,7442,8810
83,2019,Females,A Crimes against the person,A40 Abduction and related offences,335,481
84,2019,Females,A Crimes against the person,A50 Robbery,751,3803
85,2019,Females,A Crimes against the person,A60 Blackmail and extortion,51,159
86,2019,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4906,7370
87,2019,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,947,2103
88,2019,Males,A Crimes against the person,A10 Homicide and related offences,137,215
89,2019,Males,A Crimes against the person,A20 Assault and related offences,21148,43354
90,2019,Males,A Crimes against the person,A30 Sexual offences,1368,8810
91,2019,Males,A Crimes against the person,A40 Abduction and related offences,146,481
92,2019,Males,A Crimes against the person,A50 Robbery,3052,3803
93,2019,Males,A Crimes against the person,A60 Blackmail and extortion,108,159
94,2019,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2464,7370
95,2019,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1156,2103
96,2018,Females,A Crimes against the person,A10 Homicide and related offences,74,198
97,2018,Females,A Crimes against the person,A20 Assault and related offences,21366,42088
98,2018,Females,A Crimes against the person,A30 Sexual offences,7352,8746
99,2018,Females,A Crimes against the person,A40 Abduction and related offences,341,495
100,2018,Females,A Crimes against the person,A50 Robbery,592,2908
101,2018,Females,A Crimes against the person,A60 Blackmail and extortion,55,173
102,2018,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4674,7027
103,2018,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,884,2167
104,2018,Males,A Crimes against the person,A10 Homicide and related offences,124,198
105,2018,Males,A Crimes against the person,A20 Assault and related offences,20722,42088
106,2018,Males,A Crimes against the person,A30 Sexual offences,1394,8746
107,2018,Males,A Crimes against the person,A40 Abduction and related offences,154,495
108,2018,Males,A Crimes against the person,A50 Robbery,2316,2908
109,2018,Males,A Crimes against the person,A60 Blackmail and extortion,118,173
110,2018,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2353,7027
111,2018,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1283,2167
112,2017,Females,A Crimes against the person,A10 Homicide and related offences,86,243
113,2017,Females,A Crimes against the person,A20 Assault and related offences,20503,41498
114,2017,Females,A Crimes against the person,A30 Sexual offences,7010,8610
115,2017,Females,A Crimes against the person,A40 Abduction and related offences,318,453
116,2017,Females,A Crimes against the person,A50 Robbery,590,2853
117,2017,Females,A Crimes against the person,A60 Blackmail and extortion,36,128
118,2017,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4517,6770
119,2017,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,870,2122
120,2017,Males,A Crimes against the person,A10 Homicide and related offences,157,243
121,2017,Males,A Crimes against the person,A20 Assault and related offences,20995,41498
122,2017,Males,A Crimes against the person,A30 Sexual offences,1600,8610
123,2017,Males,A Crimes against the person,A40 Abduction and related offences,135,453
124,2017,Males,A Crimes against the person,A50 Robbery,2263,2853
125,2017,Males,A Crimes against the person,A60 Blackmail and extortion,92,128
126,2017,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2253,6770
127,2017,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1252,2122
128,2016,Females,A Crimes against the person,A10 Homicide and related offences,65,187
129,2016,Females,A Crimes against the person,A20 Assault and related offences,20958,41169
130,2016,Females,A Crimes against the person,A30 Sexual offences,6210,7684
131,2016,Females,A Crimes against the person,A40 Abduction and related offences,367,527
132,2016,Females,A Crimes against the person,A50 Robbery,586,2755
133,2016,Females,A Crimes against the person,A60 Blackmail and extortion,47,139
134,2016,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4816,7123
135,2016,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,850,2127
136,2016,Males,A Crimes against the person,A10 Homicide and related offences,122,187
137,2016,Males,A Crimes against the person,A20 Assault and related offences,20211,41169
138,2016,Males,A Crimes against the person,A30 Sexual offences,1474,7684
139,2016,Males,A Crimes against the person,A40 Abduction and related offences,160,527
140,2016,Males,A Crimes against the person,A50 Robbery,2169,2755
141,2016,Males,A Crimes against the person,A60 Blackmail and extortion,92,139
142,2016,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2307,7123
143,2016,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1277,2127
144,2015,Females,A Crimes against the person,A10 Homicide and related offences,62,177
145,2015,Females,A Crimes against the person,A20 Assault and related offences,18381,36469
146,2015,Females,A Crimes against the person,A30 Sexual offences,5230,6486
147,2015,Females,A Crimes against the person,A40 Abduction and related offences,298,468
148,2015,Females,A Crimes against the person,A50 Robbery,468,2119
149,2015,Females,A Crimes against the person,A60 Blackmail and extortion,45,139
150,2015,Females,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4278,6488
151,2015,Females,A Crimes against the person,A80 Dangerous and negligent acts endangering people,610,1580
152,2015,Males,A Crimes against the person,A10 Homicide and related offences,115,177
153,2015,Males,A Crimes against the person,A20 Assault and related offences,18088,36469
154,2015,Males,A Crimes against the person,A30 Sexual offences,1256,6486
155,2015,Males,A Crimes against the person,A40 Abduction and related offences,170,468
156,2015,Males,A Crimes against the person,A50 Robbery,1651,2119
157,2015,Males,A Crimes against the person,A60 Blackmail and extortion,94,139
158,2015,Males,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2210,6488
159,2015,Males,A Crimes against the person,A80 Dangerous and negligent acts endangering people,970,1580
